111  	['100000066']
15084  	['100004819']
2  	['100000005']
262  	['100004819']
26454  	['100003192']
3778  	['100000066', '100008254']
6011204  	['100020526', '100010128', '100071170']
6011936  	['100019875', '100071170', '100004819']
6012754  	['100012200', '100004819']
6015491  	['100004467', '100071170', '100005156']
66193  	['100002460', '100007808', '100004467', '100071170']
7185  	['100003268']
